Nave,Eta,Doc.Entrega,Pos.Entrega,VOLUM_ENTREGA,UMV,Material,FPE,FPAN,Status Movimiento de Mcía,Descripcion Material
MAERSK KENDAL,2012-11-26,802717361,10,13.105,M3,502894,2012-08-20,2012-11-29,C,"Ply CpD WBP 2400x1200x6,5 S2S"
MAERSK KENDAL,2012-11-26,802717361,20,33.18,M3,502888,2012-08-20,2012-11-29,C,Ply CpD WBP 2400x1200x12 S2S
MAERSK KENDAL,2012-11-26,802717361,20,33.18,M3,502888,2012-08-20,2012-11-29,C,Ply CpD WBP 2400x1200x12 S2S
MSC MADELEINE,2012-11-08,802741847,10,34.188,M3,705186,2012-07-11,2012-11-05,C,TRU LI 2440x1220x11/1RA/CO87
MSC MADELEINE,2012-11-08,802741847,20,2.947,M3,505120,2012-07-11,2012-11-05,C,RAN L LAQ BCO LS H 2440x1220x18/1RA/CS55
MSC MADELEINE,2012-11-08,802741847,30,2.724,M3,747737,2012-07-11,2012-11-05,C,TRU LI 2440x1220x15/2DA/NA61
CSAV PARIS,2012-11-02,802758710,10,2.706,M3,505156,2012-09-23,2012-10-30,C,TRU LI 2440x1220x9/1RA/CO101
CSAV PARIS,2012-11-02,802758710,20,10.86,M3,747704,2012-09-23,2012-10-30,C,TRU LI 2440x1220x12/1RA/CO76
CSAV PARIS,2012-11-02,802758710,30,10.896,M3,747732,2012-09-23,2012-10-30,C,TRU LI 2440x1220x15/1RA/CO61
CSAV PARIS,2012-11-02,802758710,40,5.358,M3,747742,2012-09-23,2012-10-30,C,TRU LI 2440x1220x18/1RA/CO50
CSAV PARIS,2012-11-02,802758710,40,5.358,M3,747742,2012-09-23,2012-10-30,C,TRU LI 2440x1220x18/1RA/CO50
CSAV PARIS,2012-11-02,802758710,50,8.841,M3,503656,2012-09-23,2012-10-30,C,MNA U BCO SOFT 1C 2440x1220x18/1RA/CO55
CSAV PARIS,2012-11-02,802763532,10,38.311,M3,503596,2012-09-12,2012-11-01,C,MNA L BCO LISO 2C 2440x1220x15/1RA/CO66
CSAV PARIS,2012-11-02,802763561,10,38.752,M3,747736,2012-08-22,2012-10-28,C,TRU LI 2440x1220x15/1RA/CO62
MSC MADELEINE,2012-11-08,802766600,10,44.24,M3,502062,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x12 S2S
MSC MADELEINE,2012-11-08,802766606,10,44.24,M3,502062,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x12 S2S
E.R.DALLAS,2012-11-19,802766611,10,44.928,M3,502069,2012-10-01,2012-11-15,C,Ply BC WBP 2400x1200x15 S2S
CSAV PARIS,2012-11-02,802786132,10,13.53,M3,505156,2012-10-14,2012-10-30,C,TRU LI 2440x1220x9/1RA/CO101
CSAV PARIS,2012-11-02,802786132,20,10.86,M3,747704,2012-10-14,2012-10-30,C,TRU LI 2440x1220x12/1RA/CO76
CSAV PARIS,2012-11-02,802786132,30,8.172,M3,747732,2012-10-14,2012-10-30,C,TRU LI 2440x1220x15/1RA/CO61
CSAV PARIS,2012-11-02,802786132,40,4.06,M3,505231,2012-10-14,2012-10-30,C,"TRU ST 2440x1220x5,5/1RA/CO124"
SEROJA ENAM,2012-11-22,802786135,10,2.03,M3,505231,2012-11-10,2012-11-20,C,"TRU ST 2440x1220x5,5/1RA/CO124"
SEROJA ENAM,2012-11-22,802786135,20,10.824,M3,505156,2012-11-10,2012-11-20,C,TRU LI 2440x1220x9/1RA/CO101
SEROJA ENAM,2012-11-22,802786135,30,16.29,M3,747704,2012-11-10,2012-11-20,C,TRU LI 2440x1220x12/1RA/CO76
SEROJA ENAM,2012-11-22,802786135,40,8.172,M3,747732,2012-11-10,2012-11-20,C,TRU LI 2440x1220x15/1RA/CO61
SEROJA ENAM,2012-11-22,802786139,10,13.53,M3,505156,2012-11-25,2012-11-22,C,TRU LI 2440x1220x9/1RA/CO101
SEROJA ENAM,2012-11-22,802786139,20,16.29,M3,747704,2012-11-25,2012-11-22,C,TRU LI 2440x1220x12/1RA/CO76
SEROJA ENAM,2012-11-22,802786139,30,8.172,M3,747732,2012-11-25,2012-11-22,C,TRU LI 2440x1220x15/1RA/CO61
MAERSK KENDAL,2012-11-26,802808671,10,43.136,M3,900529,2012-10-31,2012-11-29,C,Ply BC WBP 2400x1200x18 S2S G&G-T F8 ch
CSAV PARIS,2012-11-02,802808691,10,44.784,M3,502076,2012-11-15,2012-11-03,C,Ply BC WBP 2400x1200x18 S2S
E.R.DALLAS,2012-11-19,802808714,10,27.99,M3,502895,2012-10-28,2012-11-19,C,Ply CpD WBP 2400x1200x9 S2S
E.R.DALLAS,2012-11-19,802808714,20,16.794,M3,502890,2012-10-28,2012-11-19,C,Ply CpD WBP 2400x1200x18 S2S
MSC MADELEINE,2012-11-08,802813022,10,20.968,M3,502894,2012-10-31,2012-11-08,C,"Ply CpD WBP 2400x1200x6,5 S2S"
MSC MADELEINE,2012-11-08,802813022,20,11.196,M3,502895,2012-10-31,2012-11-08,C,Ply CpD WBP 2400x1200x9 S2S
MSC MADELEINE,2012-11-08,802813022,30,5.392,M3,764457,2012-10-31,2012-11-08,C,Ply BC WBP 2400x1200x12 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802813022,40,5.356,M3,764455,2012-10-31,2012-11-08,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802813023,10,43.136,M3,764457,2012-11-24,2012-11-14,C,Ply BC WBP 2400x1200x12 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802813024,10,42.848,M3,764455,2012-11-24,2012-11-14,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802813025,10,42.848,M3,764455,2012-11-24,2012-11-14,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
CSAV PARIS,2012-11-02,802813029,10,2.621,M3,502098,2012-11-14,2012-11-02,C,"Ply BC WBP 2400x1200x6,5 S2S"
CSAV PARIS,2012-11-02,802813029,20,2.799,M3,502102,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x9 S2S
CSAV PARIS,2012-11-02,802813029,30,8.295,M3,502062,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x12 S2S
CSAV PARIS,2012-11-02,802813029,40,8.397,M3,502076,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S
CSAV PARIS,2012-11-02,802813029,50,8.088,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
CSAV PARIS,2012-11-02,802813029,60,6.695,M3,764455,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
CSAV PARIS,2012-11-02,802813029,70,6.74,M3,764457,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x12 S2S F8 FA ch
MAERSK KENDAL,2012-11-26,802818112,1,11.788,M3,803808,2012-10-02,2012-11-07,C,TRU UL CARB II 2440x1220x18/1RA/CO55
MAERSK KENDAL,2012-11-26,802818112,2,9.114,M3,915925,2012-10-02,2012-11-07,C,TRU UL CARB II 2465x1245x18/1RA/CO55
MAERSK KENDAL,2012-11-26,802818112,3,14.825,M3,803807,2012-10-02,2012-11-07,C,TRU UL CARB II 2440x1220x12/1RA/CO83
MAERSK KENDAL,2012-11-26,802818112,4,3.684,M3,803811,2012-10-02,2012-11-07,C,TRU UL CARB II 3050x1220x18/1RA/CO55
MAERSK KENDAL,2012-11-26,802818112,5,2.977,M3,803795,2012-10-02,2012-11-07,C,TRU UL CARB II 2440x1220x25/1RA/CO40
AS CATALANIA,2012-11-21,802822094,10,32.615,M3,503608,2012-11-06,2012-11-08,C,MNA L BCO SOFT 2C 2440x1220x12/1RA/CO83
AS CATALANIA,2012-11-21,802822094,20,73.675,M3,503609,2012-11-06,2012-11-08,C,MNA L BCO SOFT 2C 2440x1220x15/1RA/CO66
CAP MORETON,2012-11-28,802822097,10,29.65,M3,503608,2012-12-06,2012-11-29,C,MNA L BCO SOFT 2C 2440x1220x12/1RA/CO83
CAP MORETON,2012-11-28,802822097,10,29.65,M3,503608,2012-12-06,2012-11-29,C,MNA L BCO SOFT 2C 2440x1220x12/1RA/CO83
CAP MORETON,2012-11-28,802822097,20,41.258,M3,503609,2012-12-06,2012-11-29,C,MNA L BCO SOFT 2C 2440x1220x15/1RA/CO66
CAP MORETON,2012-11-28,802822097,20,41.258,M3,503609,2012-12-06,2012-11-29,C,MNA L BCO SOFT 2C 2440x1220x15/1RA/CO66
CSAV SUAPE,2012-11-20,802822203,20,5.412,M3,505156,2012-10-11,2012-11-15,C,TRU LI 2440x1220x9/1RA/CO101
CSAV SUAPE,2012-11-20,802822203,30,8.145,M3,747704,2012-10-11,2012-11-15,C,TRU LI 2440x1220x12/1RA/CO76
CSAV SUAPE,2012-11-20,802822203,30,8.145,M3,747704,2012-10-11,2012-11-15,C,TRU LI 2440x1220x12/1RA/CO76
CSAV SUAPE,2012-11-20,802822203,40,19.068,M3,747732,2012-10-11,2012-11-15,C,TRU LI 2440x1220x15/1RA/CO61
CSAV SUAPE,2012-11-20,802822203,60,2.679,M3,747742,2012-10-11,2012-11-15,C,TRU LI 2440x1220x18/1RA/CO50
CSAV SUAPE,2012-11-20,802822203,70,2.03,M3,505231,2012-10-11,2012-11-15,C,"TRU ST 2440x1220x5,5/1RA/CO124"
SEROJA ENAM,2012-11-22,802824062,10,11.572,M3,502241,2012-09-10,2012-11-21,C,Ply BC WBP 2440x1220x9 S2S
SEROJA ENAM,2012-11-22,802824062,20,8.424,M3,502615,2012-09-10,2012-11-21,C,Ply CD WBP 2400x1200x15 US
SEROJA ENAM,2012-11-22,802824062,30,22.392,M3,502928,2012-09-10,2012-11-21,C,Ply MU WBP 2400x1200x18 S2S Ex
SEROJA ENAM,2012-11-22,802824062,40,2.893,M3,739960,2012-09-10,2012-11-21,C,Ply CpD WBP 2440x1220x9 S2S PR Ex
MSC ROMANOS,2012-11-09,802824230,10,36.24,M3,938514,2012-09-30,2012-11-05,C,MNA P 031-RDK-WEN FF 2500x1830x15/1/C44
MSC ROMANOS,2012-11-09,802824237,10,36.24,M3,938514,2012-09-30,2012-11-05,C,MNA P 031-RDK-WEN FF 2500x1830x15/1/C44
CSAV PARIS,2012-11-02,802824247,10,37.548,M3,938513,2012-09-30,2012-11-03,C,MNA P 135-BCO FF 2500x1830x18/1/C38
MSC KYOTO,2012-11-13,802824642,1,18.69,M3,937897,2012-10-01,2012-11-07,C,TRU UL CARB II 2465x1245x15/1RA/CO58
MSC KYOTO,2012-11-13,802824642,2,18.096,M3,803800,2012-10-01,2012-11-07,C,TRU UL CARB II 2447x1245x18/1RA/CO55
MSC KYOTO,2012-11-13,802824642,2,18.096,M3,803800,2012-10-01,2012-11-07,C,TRU UL CARB II 2447x1245x18/1RA/CO55
MSC KYOTO,2012-11-13,802824642,3,5.206,M3,803823,2012-10-01,2012-11-07,C,TRU UL CARB II 2440x1524x25/1RA/CO28
CSAV PARIS,2012-11-02,802830714,10,44.784,M3,502076,2012-11-15,2012-11-03,C,Ply BC WBP 2400x1200x18 S2S
MSC MADELEINE,2012-11-08,802830716,10,10.484,M3,502894,2012-10-31,2012-11-08,C,"Ply CpD WBP 2400x1200x6,5 S2S"
MSC MADELEINE,2012-11-08,802830716,20,11.196,M3,502895,2012-10-31,2012-11-08,C,Ply CpD WBP 2400x1200x9 S2S
MSC MADELEINE,2012-11-08,802830716,30,22.464,M3,502889,2012-10-31,2012-11-08,C,Ply CpD WBP 2400x1200x15 S2S
MSC MADELEINE,2012-11-08,802830717,10,43.136,M3,764452,2012-11-17,2012-11-07,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802830720,10,43.136,M3,764452,2012-11-17,2012-11-07,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802830721,10,43.136,M3,764452,2012-11-17,2012-11-07,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802830721,10,43.136,M3,764452,2012-11-17,2012-11-07,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802830722,10,11.06,M3,502888,2012-11-24,2012-11-10,C,Ply CpD WBP 2400x1200x12 S2S
MSC MADELEINE,2012-11-08,802830722,20,33.588,M3,502890,2012-11-24,2012-11-10,C,Ply CpD WBP 2400x1200x18 S2S
CSAV PARIS,2012-11-02,802835595,10,39.186,M3,764453,2012-11-10,2012-10-29,C,Ply BC WBP 2400x1200x18 S2S F8 FA
CSAV PARIS,2012-11-02,802835595,30,5.324,M3,764450,2012-11-10,2012-10-29,C,Ply BC WBP 2400x1200x21 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835597,10,44.928,M3,502889,2012-11-14,2012-11-02,C,Ply CpD WBP 2400x1200x15 S2S
MAERSK KELSO,2012-11-06,802835598,10,44.784,M3,502890,2012-11-14,2012-11-02,C,Ply CpD WBP 2400x1200x18 S2S
MAERSK KELSO,2012-11-06,802835599,10,44.784,M3,502890,2012-11-14,2012-11-02,C,Ply CpD WBP 2400x1200x18 S2S
MAERSK KELSO,2012-11-06,802835600,10,44.784,M3,502890,2012-11-14,2012-11-02,C,Ply CpD WBP 2400x1200x18 S2S
MAERSK KELSO,2012-11-06,802835601,10,44.784,M3,502890,2012-11-14,2012-11-02,C,Ply CpD WBP 2400x1200x18 S2S
MAERSK KELSO,2012-11-06,802835603,10,44.784,M3,502890,2012-11-14,2012-11-02,C,Ply CpD WBP 2400x1200x18 S2S
MAERSK KELSO,2012-11-06,802835609,10,42.848,M3,764455,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835612,10,37.492,M3,764455,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835612,20,5.392,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835613,10,43.136,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835614,10,43.136,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835616,10,43.136,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835618,10,43.136,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835621,10,43.136,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MAERSK KELSO,2012-11-06,802835623,10,43.136,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802835627,10,42.848,M3,764455,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802835628,10,37.492,M3,764455,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802835628,20,5.392,M3,764452,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802835630,10,43.136,M3,764452,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
SEROJA ENAM,2012-11-22,802835633,10,43.136,M3,764452,2012-11-27,2012-11-20,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802835635,10,43.136,M3,764452,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802835636,10,43.136,M3,764452,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802835639,10,43.136,M3,764452,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802835640,10,43.136,M3,764452,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
SEROJA ENAM,2012-11-22,802835642,10,21.568,M3,764452,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
SEROJA ENAM,2012-11-22,802835642,20,21.888,M3,764448,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x25 S2S F8 FA ch
MSC KYOTO,2012-11-13,802836616,1,48.586,M3,502042,2012-11-05,2012-11-13,C,"Ply BD URF 2440x1220x3,2 S2S"
CSAV SUAPE,2012-11-20,802837293,10,13.825,M3,502610,2012-09-18,2012-11-19,C,Ply CD WBP 2400x1200x12 US
CSAV SUAPE,2012-11-20,802837293,20,25.191,M3,502619,2012-09-18,2012-11-19,C,Ply CD WBP 2400x1200x18 US
CSAV SUAPE,2012-11-20,802837293,30,5.786,M3,502823,2012-09-18,2012-11-19,C,Ply CpC WBP 2440x1220x9 S2S
CSAV SUAPE,2012-11-20,802837300,10,37.609,M3,502723,2012-09-18,2012-11-19,C,Ply CD WBP 2440x1220x9 S2S
CSAV SUAPE,2012-11-20,802837300,10,37.609,M3,502723,2012-09-18,2012-11-19,C,Ply CD WBP 2440x1220x9 S2S
CSAV SUAPE,2012-11-20,802837300,20,2.893,M3,734286,2012-09-18,2012-11-19,C,Ply CD WBP 2440x1220x9 TS Ex
CSAV SUAPE,2012-11-20,802837300,30,5.786,M3,739960,2012-09-18,2012-11-19,C,Ply CpD WBP 2440x1220x9 S2S PR Ex
CSAV PARIS,2012-11-02,802837469,10,43.84,M3,891842,2012-10-10,2012-11-01,C,Ply BC Deco 2440x1200x12 TMP-150R TrW ch
CSAV PARIS,2012-11-02,802837472,10,43.84,M3,891840,2012-10-10,2012-10-28,C,Ply BC Deco 2440x1200x12 R TrW ch
E.R.DALLAS,2012-11-19,802837475,10,43.136,M3,764452,2012-11-27,2012-11-17,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
CSAV PARIS,2012-11-02,802838516,10,27.423,M3,747828,2012-10-11,2012-11-01,C,"TRU ST 2440x2135x5,5/1RA/CO87"
CSAV PARIS,2012-11-02,802838516,10,27.423,M3,747828,2012-10-11,2012-11-01,C,"TRU ST 2440x2135x5,5/1RA/CO87"
CSAV PARIS,2012-11-02,802838530,10,36.15,M3,505133,2012-10-27,2012-11-01,C,RAN L MNA BCO SOF H2440x1524x18/1RA/CS36
CSAV PARIS,2012-11-02,802838533,10,36.15,M3,505133,2012-10-27,2012-11-01,C,RAN L MNA BCO SOF H2440x1524x18/1RA/CS36
CSAV PARIS,2012-11-02,802838536,10,36.15,M3,505133,2012-08-22,2012-11-01,C,RAN L MNA BCO SOF H2440x1524x18/1RA/CS36
CSAV PARIS,2012-11-02,802838541,10,36.106,M3,747798,2012-10-30,2012-11-01,C,TRU LI 2440x2135x9/1RA/CO55
SEROJA ENAM,2012-11-22,802838562,10,25.01,M3,747824,2012-10-11,2012-11-20,C,TRU ST 2440x2135x3/1RA/CO160
SEROJA ENAM,2012-11-22,802838562,10,25.01,M3,747824,2012-10-11,2012-11-20,C,TRU ST 2440x2135x3/1RA/CO160
SEROJA ENAM,2012-11-22,802838562,10,25.01,M3,747824,2012-10-11,2012-11-20,C,TRU ST 2440x2135x3/1RA/CO160
SEROJA ENAM,2012-11-22,802838562,10,25.01,M3,747824,2012-10-11,2012-11-20,C,TRU ST 2440x2135x3/1RA/CO160
MSC MADELEINE,2012-11-08,802838592,10,6.678,M3,796623,2012-10-11,2012-11-08,C,DUR S 180-ALM 2440x1520x3 1RA/CO100
MSC MADELEINE,2012-11-08,802838592,20,13.356,M3,796627,2012-10-11,2012-11-08,C,DUR S 303-NEG 2440x1520x3 1RA/CO100
MSC MADELEINE,2012-11-08,802838592,30,5.565,M3,875643,2012-10-11,2012-11-08,C,DUR S 108-GRI HU 2440x1520x3 1RA/CO100
MSC MADELEINE,2012-11-08,802838593,10,22.26,M3,875644,2012-10-11,2012-11-05,C,DUR S 031-ROB DA 2440x1520x3 1RA/CO100
SEROJA ENAM,2012-11-22,802838603,10,25.599,M3,875644,2012-10-11,2012-11-20,C,DUR S 031-ROB DA 2440x1520x3 1RA/CO100
SEROJA ENAM,2012-11-22,802838605,10,24.486,M3,748334,2012-10-11,2012-11-20,C,DUR C 135-BCO 2440x1520x3 1RA/CO100
SEROJA ENAM,2012-11-22,802838607,10,24.486,M3,748334,2012-10-11,2012-11-20,C,DUR C 135-BCO 2440x1520x3 1RA/CO100
SEROJA ENAM,2012-11-22,802838609,10,24.486,M3,748334,2012-10-11,2012-11-20,C,DUR C 135-BCO 2440x1520x3 1RA/CO100
MSC ESTHI,2012-11-29,802838611,10,24.486,M3,748334,2012-10-11,2012-11-22,C,DUR C 135-BCO 2440x1520x3 1RA/CO100
MSC MADELEINE,2012-11-08,802838624,10,24.486,M3,796627,2012-10-11,2012-11-07,C,DUR S 303-NEG 2440x1520x3 1RA/CO100
MSC MADELEINE,2012-11-08,802838625,10,25.599,M3,875643,2012-10-11,2012-11-05,C,DUR S 108-GRI HU 2440x1520x3 1RA/CO100
MSC MADELEINE,2012-11-08,802839502,20,49.181,M3,502016,2012-10-01,2012-11-15,C,Ply BC EXT 2440x1220x9 S2S
SEROJA ENAM,2012-11-22,802839505,20,49.181,M3,502016,2012-10-01,2012-11-15,C,Ply BC EXT 2440x1220x9 S2S
MSC KYOTO,2012-11-13,802840060,1,21.266,M3,915925,2012-11-01,2012-11-07,C,TRU UL CARB II 2465x1245x18/1RA/CO55
MSC KYOTO,2012-11-13,802840060,1,21.266,M3,915925,2012-11-01,2012-11-07,C,TRU UL CARB II 2465x1245x18/1RA/CO55
MSC KYOTO,2012-11-13,802840060,2,21.399,M3,919627,2012-11-01,2012-11-07,C,TRU UL CARB II 2465x1245x12/1RA/CO83
MSC KYOTO,2012-11-13,802840060,2,21.399,M3,919627,2012-11-01,2012-11-07,C,TRU UL CARB II 2465x1245x12/1RA/CO83
CSAV PARIS,2012-11-02,802840429,10,44.784,M3,891864,2012-10-29,2012-10-28,C,Ply AnC EXT 2400x1200x9 S2S
MSC MADELEINE,2012-11-08,802840434,10,47.005,M3,502921,2012-11-24,2012-11-10,C,Ply MU WBP 2400x1200x12 S2S Ex
SEROJA ENAM,2012-11-22,802840435,10,47.005,M3,502921,2012-11-29,2012-11-19,C,Ply MU WBP 2400x1200x12 S2S Ex
SEROJA ENAM,2012-11-22,802840439,10,47.583,M3,502991,2012-11-29,2012-11-19,C,Ply Rech Mix 2400x1200x9
SEROJA ENAM,2012-11-22,802840439,10,47.583,M3,502991,2012-11-29,2012-11-19,C,Ply Rech Mix 2400x1200x9
CSAV SUAPE,2012-11-20,802841350,10,13.62,M3,747732,2012-11-12,2012-11-12,C,TRU LI 2440x1220x15/1RA/CO61
CSAV SUAPE,2012-11-20,802841350,20,13.395,M3,747742,2012-11-12,2012-11-12,C,TRU LI 2440x1220x18/1RA/CO50
CSAV SUAPE,2012-11-20,802841350,40,0,M3,986306,2012-11-12,2012-11-12,C,RAN L MNA BCO SOF H2440x1220x18/1RA/CS55
MSC GENEVA,2012-11-20,802843709,10,31.823,M3,738083,2012-09-24,2012-11-13,C,"Ply BC WBP 2440x1220x9 S2S WG-1,6"" CCA"
CSAV SUAPE,2012-11-20,802845336,10,47.294,M3,502624,2012-09-25,2012-11-19,C,Ply CD WBP 2400x1200x21 US
CSAV SUAPE,2012-11-20,802845343,10,5.564,M3,502624,2012-09-25,2012-11-19,C,Ply CD WBP 2400x1200x21 US
CSAV SUAPE,2012-11-20,802845343,20,5.598,M3,502641,2012-09-25,2012-11-19,C,Ply CD WBP 2400x1200x9 S2S
CSAV SUAPE,2012-11-20,802845343,30,28.08,M3,903677,2012-09-25,2012-11-19,C,Ply CpC WBP 2400x1200x15 S2S P30 EAN
CSAV SUAPE,2012-11-20,802845343,40,8.346,M3,502931,2012-09-25,2012-11-19,C,Ply MU WBP 2400x1200x21 S2S Ex
E.R.DALLAS,2012-11-19,802845523,10,45.728,M3,503131,2012-09-25,2012-11-19,C,Ply Rech Soplado 2440x1220x12
E.R.DALLAS,2012-11-19,802845523,10,45.728,M3,503131,2012-09-25,2012-11-19,C,Ply Rech Soplado 2440x1220x12
E.R.DALLAS,2012-11-19,802845536,10,31.438,M3,503044,2012-09-25,2012-11-19,C,Ply Rech Prensa 2440x1220x12
E.R.DALLAS,2012-11-19,802845536,20,5.36,M3,503089,2012-09-25,2012-11-19,C,Ply Rech Ran 2440x1220x9 R CR
E.R.DALLAS,2012-11-19,802845536,20,5.36,M3,503089,2012-09-25,2012-11-19,C,Ply Rech Ran 2440x1220x9 R CR
E.R.DALLAS,2012-11-19,802845536,30,5.786,M3,503003,2012-09-25,2012-11-19,C,Ply Rech Mix 2440x1220x9
CSAV PARIS,2012-11-02,802846305,10,16.695,M3,796623,2012-09-30,2012-10-30,C,DUR S 180-ALM 2440x1520x3 1RA/CO100
CSAV PARIS,2012-11-02,802846305,20,5.565,M3,796627,2012-09-30,2012-10-30,C,DUR S 303-NEG 2440x1520x3 1RA/CO100
CSAV PARIS,2012-11-02,802846305,20,5.565,M3,796627,2012-09-30,2012-10-30,C,DUR S 303-NEG 2440x1520x3 1RA/CO100
CSAV PARIS,2012-11-02,802846305,30,3.339,M3,875643,2012-09-30,2012-10-30,C,DUR S 108-GRI HU 2440x1520x3 1RA/CO100
MSC MADELEINE,2012-11-08,802846318,10,25.599,M3,796627,2012-09-30,2012-11-07,C,DUR S 303-NEG 2440x1520x3 1RA/CO100
CSAV PARIS,2012-11-02,802846401,10,37.96,M3,747757,2012-10-30,2012-11-01,C,TRU LI 2440x1220x9/1RA/CO109
CSAV PARIS,2012-11-02,802846413,10,37.96,M3,747757,2012-10-23,2012-11-01,C,TRU LI 2440x1220x9/1RA/CO109
CSAV PARIS,2012-11-02,802846416,10,37.96,M3,747757,2012-10-23,2012-11-01,C,TRU LI 2440x1220x9/1RA/CO109
CSAV PARIS,2012-11-02,802846436,10,38.514,M3,747731,2012-10-30,2012-10-28,C,TRU LI 2440x1220x12/1RA/CO77
CSAV PARIS,2012-11-02,802846449,10,38.514,M3,747731,2012-10-30,2012-10-30,C,TRU LI 2440x1220x12/1RA/CO77
CSAV PARIS,2012-11-02,802846452,10,38.514,M3,747731,2012-10-23,2012-11-01,C,TRU LI 2440x1220x12/1RA/CO77
CSAV PARIS,2012-11-02,802846455,10,38.514,M3,747731,2012-10-30,2012-11-01,C,TRU LI 2440x1220x12/1RA/CO77
CSAV PARIS,2012-11-02,802846461,10,38.752,M3,747736,2012-10-30,2012-11-01,C,TRU LI 2440x1220x15/1RA/CO62
CSAV PARIS,2012-11-02,802846465,10,38.752,M3,747736,2012-10-23,2012-11-01,C,TRU LI 2440x1220x15/1RA/CO62
CSAV PARIS,2012-11-02,802846469,10,38.752,M3,747736,2012-10-30,2012-11-01,C,TRU LI 2440x1220x15/1RA/CO62
CSAV PARIS,2012-11-02,802846477,10,37.609,M3,747745,2012-10-23,2012-11-01,C,TRU LI 2440x1220x18/1RA/CO54
CSAV PARIS,2012-11-02,802846484,10,37.609,M3,747745,2012-10-23,2012-11-01,C,TRU LI 2440x1220x18/1RA/CO54
CSAV PARIS,2012-11-02,802846486,10,26.351,M3,747817,2012-10-30,2012-10-30,C,TRU ST 2440x1220x3/1RA/CO227
SEROJA ENAM,2012-11-22,802846490,10,35.364,M3,503587,2012-10-16,2012-11-22,C,MNA L BCO LISO 1C 2440x1220x15/1RA/CO66
